"","HNSCC10_p14_HNSCC10_P14_B12","HNSCC6_p15_HNSCC6_P15_LN_C05","HNSCC5_p13_P13_F09","HNSCC10_p4_HNSCC10_P4_B11","HN25_P23_H02_S278_comb","HN28_P14_C01_S121_comb","HN25_P25_F03_S351_comb","HNSCC18_P13_C04_S316_comb","HN28_P15_D03_S327_comb","HNSCC18_P7_F10_S166_comb","HNSCC25_P20_D06_S330_comb","HNSCC18_P13_C01_S313_comb","HN25_P23_C01_S217_comb","HN28_P15_B10_S310_comb","HNSCC6_p8_HNSCC6_P8_A10","HNSCC25_P20_F06_S354_comb","HN28_P14_A04_S100_comb","HNSCC10_p14_HNSCC10_P14_G09","HNSCC17_P13_H06_S378_comb","HNSCC25_P20_B07_S307_comb","HNSCC25_P3_C11_S131_comb","HNSCC25_P4_A03_S195_comb","HNSCC16_P5_HNSCC16_P5_E05","HNSCC13_p19_HNSCC13_P19_C08","HNSCC_combo1_HNSCC_ComboP1_H01","HNSCC13_p19_HNSCC13_P19_B08","HNSCC16_P5_HNSCC16_P5_C01","HNSCC16_P7_HNSCC16_P7_B04","HNSCC16_P7_HNSCC16_P7_H10","HNSCC13_p19_HNSCC13_P19_C12","HNSCC13_p19_HNSCC13_P19_B11","HNSCC25_P2_B10_S22_comb","HNSCC13_p19_HNSCC13_P19_H10","HNSCC13_p19_HNSCC13_P19_C11","HNSCC13_p19_HNSCC13_P19_A06","HNSCC13_p19_HNSCC13_P19_D03","HNSCC13_p19_HNSCC13_P19_B07","HNSCC16_P4_HNSCC16_P4_E11","HNSCC13_p19_HNSCC13_P19_A05","HNSCC16_P5_HNSCC16_P5_D09","HNSCC5_p15_HNSCC5_P15_B11","HNSCC5_p15_HNSCC5_P15_C09","HNSCC5_p13_P13_A03","HNSCC5_p15_HNSCC5_P15_C06","HNSCC5_p15_HNSCC5_P15_G04","HNSCC5_p15_HNSCC5_P15_A05","HNSCC5_p15_HNSCC5_P15_E02","HNSCC5_p5_P5_F06","HNSCC5_p15_HNSCC5_P15_D07","HNSCC5_p15_HNSCC5_P15_B01","HNSCC5_p15_HNSCC5_P15_E01","HNSCC5_p13_P13_H04","HNSCC16_P2_G01_S73_comb","HNSCC13_p19_HNSCC13_P19_E12","HNSCC6_p15_HNSCC6_P15_LN_C12","HNSCC16_P2_G02_S74_comb","HNSCC6_p15_HNSCC6_P15_LN_E01","HNSCC5_p15_HNSCC5_P15_F05","HNSCC16_P2_C06_S30_comb","HNSCC18_P7_A10_S106_comb","HNSCC5_p7_HNSCC5_P7_E06","HNSCC5_p3_HNSCC5_P3_E10","HNSCC5_p7_HNSCC5_P7_D08","HNSCC25_P20_B05_S305_comb","HNSCC6_p8_HNSCC6_P8_H11","HNSCC6_p15_HNSCC6_P15_LN_C11","HNSCC6_p15_HNSCC6_P15_LN_A01","HNSCC24_P13_R_LN_B05_S113_comb","HNSCC5_p5_P5_F04","HN25_P5_C12_S36_comb","HNSCC6_p15_HNSCC6_P15_LN_B07","HNSCC5_p15_HNSCC5_P15_G07","HNSCC6_p15_HNSCC6_P15_LN_D08","HN25_P5_G10_S82_comb","HNSCC5_p7_HNSCC5_P7_D01","HNSCC6_p15_HNSCC6_P15_LN_F03","HNSCC5_p7_HNSCC5_P7_A10","HNSCC5_p15_HNSCC5_P15_A08","HNSCC24_P13_R_LN_F08_S164_comb","HNSCC5_p7_HNSCC5_P7_C06","HNSCC6_p15_HNSCC6_P15_LN_A03","HNSCC5_p11_p12_hnscc5_p11_p12_H11","HN28_P3P4_A02_S2_comb","HNSCC6_p15_HNSCC6_P15_LN_B08","HNSCC5_p5_P5_D09","HNSCC5_p3_HNSCC5_P3_C06","HNSCC5_p5_P5_B08","HNSCC5_p5_P5_C07","HNSCC5_p11_p12_hnscc5_p11_p12_E07","HNSCC24_P3_H01_S85_comb","HNSCC5_p5_P5_G04","HNSCC5_p11_p12_hnscc5_p11_p12_A02","HNSCC5_p11_p12_hnscc5_p11_p12_A04","HNSCC5_p11_p12_hnscc5_p11_p12_E12","HNSCC16_P9_G08_S272_comb","HNSCC5_p3_HNSCC5_P3_C05","HNSCC5_p5_P5_A06","HNSCC18_P13_A09_S297_comb","HNSCC6_p14_hnscc6_p14_E12","HNSCC5_p5_P5_C03","HNSCC20_P12_C03_S315_comb","HNSCC20_P3_B01_S13_comb","HNSCC20_P13_A10_S202_comb","HNSCC20_P13_C10_S226_comb","HNSCC6_p15_HNSCC6_P15_LN_H08","HNSCC20_P3_B02_S14_comb","HNSCC20_P3_H01_S85_comb","HNSCC20_P3_C01_S25_comb","HNSCC6_p15_HNSCC6_P15_LN_H01","HNSCC20_P12_D03_S327_comb","HNSCC20_P2_F12_S168_comb","HNSCC20_P13_H10_S286_comb","HNSCC20_P2_D06_S138_comb","HNSCC20_P13_A07_S199_comb","HNSCC6_p15_HNSCC6_P15_LN_H11","HNSCC20_P3_H09_S93_comb","HNSCC20_P3_E09_S57_comb","HNSCC20_P12_D12_S336_comb","HNSCC6_p15_HNSCC6_P15_LN_B01","HNSCC20_P13_A06_S198_comb","HNSCC18_P13_A05_S293_comb","HNSCC13_p1_HNSCC13_P1_G10","HNSCC16_P9_G11_S275_comb","HNSCC18_P3_H04_S376_comb","HNSCC24_P3_H06_S90_comb","HNSCC18_P7_G09_S177_comb","HN25_P5_F06_S66_comb","HNSCC17_P3_A02_S194_comb","HNSCC5_p3_HNSCC5_P3_F08","HNSCC_combo1_HNSCC_ComboP1_C02","HNSCC16_P7_HNSCC16_P7_G09","HNSCC24_P3_D10_S46_comb","HN25_P5_G12_S84_comb","HNSCC25_P4_D09_S237_comb","HNSCC_combo1_HNSCC_ComboP1_A07","HNSCC17_P3_F02_S254_comb","HNSCC24_P3_B01_S13_comb","HNSCC16_P4_HNSCC16_P4_H07","HNSCC16_P9_E08_S248_comb","HNSCC16_P7_HNSCC16_P7_H02","HN28_P3P4_B10_S22_comb","HN25_P5_B06_S18_comb","HN25_P5_A09_S9_comb","HNSCC28_P2_A12_S12_comb","HN28_P5_C01_S217_comb","HNSCC16_P4_HNSCC16_P4_B11","HN28_P3P4_D10_S46_comb","HN28_P3P4_E02_S50_comb","HN25_P5_H11_S95_comb","HNSCC25_P4_E02_S242_comb","HNSCC25_P3_A04_S100_comb","HN28_P3P4_A03_S3_comb","HN28_P3P4_E12_S60_comb","HNSCC25_P3_F04_S160_comb","HNSCC25_P3_B12_S120_comb","HNSCC25_P3_G06_S174_comb","HNSCC28_P2_G07_S79_comb","HNSCC28_P2_D02_S38_comb","HNSCC18_P7_G10_S178_comb","HNSCC16_P9_C02_S218_comb","HNSCC25_P12_B12_S120_comb","HNSCC12_p20_HNSCC12_P20_A08","HNSCC5_p11_p12_hnscc5_p11_p12_D05","HNSCC_17_P9_A06_S6_comb","HNSCC16_P9_G03_S267_comb","HN23_P11_F01_S61_comb","HNSCC_17_P9_D02_S38_comb","HNSCC16_P12_HNSCC16_P12_A03","HNSCC_17_P9_D11_S47_comb","HNSCC16_P11_HNSCC16_P11_E09","HNSCC16_P14_HNSCC16_P14_B03","HNSCC16_P11_HNSCC16_P11_D07","HNSCC12_p20_HNSCC12_P20_G01","HNSCC5_p11_p12_hnscc5_p11_p12_G11","HNSCC12_p19_HNSCC12_P19_E11","HNSCC18_P14_HNSCC18_P14_E10","HNSCC13_p19_HNSCC13_P19_H09","HNSCC18_P13_E02_S338_comb","HNSCC18_P15_G03_S75_comb"
"UPRT",0,0,0,6.17656643119412,0,0,0,0,0,0,0,0,0,0,0,0,3.2530967360272,0,0,4.51548351689489,0,0,0,0,0,5.06437069907371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30701011550234,0,0,0,3.31639664434693,0,0,0,0,0,0,4.70940843111658,0,0,4.40574494286678,0,0,0,0,0,4.51373219632541,0,4.6039943498573,0,0,0,0,0,4.30988531236616,3.40518366799221,0,0,0,0,0,0,0,2.96375984141226,0,0,4.11727041207481,0,0,4.631391981268,0,0,0,0,0,0,0,0,4.17373600529119,0,0,0,3.10549849293956,0,0,0,3.55621629888977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32674415098005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53966948629621,0,0,0,0,5.50725322924212,0,0,0,0,0,0,0,0,3.09244060415242,0,0,0,0,0
"ACACB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40049976909589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63650518385764,0,2.16102396449097,4.11512425810752,4.08780829355609,2.98772915568605,2.96325220189952,0,3.86349039825523,0,4.51571192973922,2.77948122042745,0,0,3.37210740646769,0,2.75942223809335,3.48918907490642,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50710514072523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9522671327988,0,0,0,0,0,0,0,0,0,0,0,0,2.72459631479635,2.61441682121467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3485103073983,0,0,0,0,2.39698769478802,0,0,2.31352794386414,0,0,0,5.21789542054864,3.68711154267551,3.4061738456955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPT1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45651500804215,0,0,0,0,0,0,0,0,0,3.75867514727865,0,0,0,4.34718276809912,0,0,0,4.41574089076647,0,0,0,0,4.1934420925446,0,0,0,0,4.25236453173188,0,2.42208686928768,3.57152607009816,0,2.59073316171377,2.49569045599559,0,4.2987681040798,0,0,4.39196506742569,5.18501184591658,0,0,3.74717494904352,0,0,0,0,0,0,0,0,2.68987271827578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIPOX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20095075404595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15390343619564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39334103931958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50074954898497,3.26885419773608,0,0,3.42879674669454,2.2257084699156,2.49315347873537,0,3.74145822413709,0,0,0,0,0,0,0,0,3.34854438886428,2.80817975664567,0,3.04644041772815,0,2.75299429480625,2.38324042609778,0,0,3.41480586153172,0,0,0,0,0,3.38741201941624,2.42395616258873,2.62245300807682,0,3.55595492280481,0,0,0,3.93593228488234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92103354482301,3.04019984041773,3.17427195068916,0,3.78536479400883,3.39950829549468,3.54531374519583,2.42918195844604,4.10828441967792,3.04218224354239,2.65468567471555,2.87979012743142,2.71797490982713,0,4.14899707684621,0,0,3.76563126508446,4.81957203807414,2.74151730742525,2.52496948947543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22844630332148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRI1",0,2.64186408396921,0,0,0,0,0,0,0,0,0,0,0,2.2721281971102,0,0,0,0,0,0,2.43451969489934,0,0,0,0,0,4.99214338135867,0,0,0,0,0,0,0,0,0,0,2.14359506500047,0,0,2.45697431562344,0,0,0,0,0,0,0,3.24411717575954,0,0,0,4.19375701059329,0,0,0,2.8099971722313,0,0,3.62783731038761,0,0,0,0,0,3.44684776335162,0,0,0,0,0,3.87287835813906,3.99524697601537,0,0,0,0,0,0,0,3.65431073022701,0,2.78563252029526,0,0,0,0,0,0,0,0,0,0,0,0,3.37002026499252,4.36967676304791,0,0,0,3.54470247890384,0,2.76572664545163,0,2.83320102213204,3.99136774373574,3.23746254749138,3.16251806037762,0,0,2.85937356079281,0,0,3.45753680661647,2.6180936822015,3.08148849737048,0,3.29583972495359,3.71523867104256,4.02161785878134,0,0,0,0,0,4.79680351686128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17665546761295,0,0,0,0,0,0,0,0,0,0,0,2.23751088602892,0,3.65943579685718,0,0,6.74055262392413,6.0416666252735,0,0,0,0,2.5256849375952,0,0,5.7629646147108,0,0,0,0,0,0,0,4.75675964132037,0,0,2.51121503605616,0
"GSTA4",0,5.80862341942903,0,0,0,0,0,3.11035829057645,0,0,0,0,0,0,5.58080198095162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26900381950158,4.59439436225589,4.48704737797244,4.09036082991646,0,2.95073837934535,0,5.88024295948142,0,0,0,0,4.7226654506122,5.90801716988349,0,2.63114920933766,0,0,0,0,3.89185894146029,0,5.64001352128138,0,0,0,5.64108646969334,0,5.56589173028693,5.04648758117952,5.59756730308967,5.06744719753938,5.03144930301976,0,5.90879827289326,0,5.51831532723059,0,0,0,3.22204685252215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00037332841517,5.67397310732288,4.91887547654219,5.22232936469142,5.47346540402382,5.83922171508681,5.95131121590999,3.7539771201539,5.43387352362855,5.26981072049131,5.37733386829364,6.48645419290522,5.2877895783962,5.69404654417627,4.77705669333992,0,5.21316971957466,5.94435871837468,5.60265241641162,5.132814845843,0,0,0,0,5.92321057323367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96837137482128,4.85469785440361,5.74164719972085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74578333975136,0,0,0,0,0,0,0
"IDH2",7.11928519143025,6.23380223880905,0,8.09948734289572,0,0,5.42969496217441,5.29648396568101,5.76260823964112,7.60101821111379,0,6.11707906541933,0,0,0,0,0,5.96343997054684,6.30443965886354,6.0546208972928,4.5953017754846,6.13390059440467,6.68470439428307,0,0,0,0,6.11665492248041,4.3433899499058,0,5.61217581937928,6.48968633085484,0,0,0,6.42818076105839,0,0,3.56726846738047,6.35873716131696,4.58039634422139,3.96252913063422,4.6352363572968,0,0,0,4.96159250011011,5.07923575308653,5.1275584876104,4.4791819995973,0,5.25384975950024,0,5.73943630733966,5.93534719075994,5.51587341430893,0,3.68235292293351,6.01964335006363,0,6.03635648406765,5.77914038428542,5.75897301414926,4.07822864741462,0,5.45749167094088,3.73261961035931,0,4.71472779305569,4.94500570965623,5.17459767771928,4.92116538642284,0,0,4.43769765665483,0,5.21934927327194,0,5.0842857303932,5.38700639109183,5.89381274519927,6.45004764073444,3.34352352327559,5.15309722689398,5.49985214953759,5.8476853636951,5.9858446197072,6.5086547499873,4.67076000342523,5.28054174419907,5.60308210617546,6.07011899289941,5.30908504507133,5.1316468868684,5.36823540176936,5.46792602422266,4.72947613122083,4.80901066425216,0,5.69568903812219,6.24501679911911,6.8092494288569,6.64116505453465,5.87342084127363,5.62169633623975,5.86339876887419,6.13545525087276,6.336347703841,4.8374051330652,6.15495522232284,5.74428582715418,6.02601770294174,5.78975410387929,5.2451389648448,3.02040996968463,5.86666865524005,5.63872593609748,5.32775697994705,4.77824972887972,4.90017468829824,6.52038467932354,7.06928515836411,5.04318756177634,5.7510597897758,6.83017822571815,6.23020465455461,0,5.90489261206333,0,5.67232955397825,6.82163923115129,0,0,0,0,5.89445204876598,6.31099164482273,0,5.83217913515543,5.6954033926936,5.89033191870664,4.87174872334203,5.9009865859047,7.84980540479698,7.72415504462406,5.8573558852968,8.08760193607163,5.44424503545076,6.22159775269411,6.85061297866677,6.63695720350158,6.53864326982044,6.5138526666917,0,6.30288962522757,7.36910102544658,0,2.73570576312413,0,5.64294616255569,4.8821183211459,6.44793858995825,6.68603617871363,6.21411856893279,4.98625828438153,4.87137825267183,7.02541476476995,5.86147936361683,7.57685646355292,6.21397744276882,0,0,6.79377755408309,0,5.98591550274023,6.90776761319107,6.58153423629184,0,0
"HSD17B4",6.6284006020093,4.53944155800899,0,0,4.71884697378885,0,0,0,0,0,5.56223472556325,0,0,0,0,0,0,0,6.35085245247842,0,5.44856530823662,4.48483343111143,0,0,0,0,0,0,6.59760368551384,5.68233254083096,5.57263092682537,6.52621385347327,5.73387280775463,0,0,0,0,5.81752077972649,0,2.86619475979337,3.72494826812868,4.43923135097349,0,4.23334318865208,4.87908222442176,4.01694755934832,0,4.80119629354065,0,2.84378278276043,5.64687977639715,0,0,4.9131862339535,0,0,0,0,0,0,4.40559108200135,4.37901466849252,3.39382547049877,4.23122713786482,4.66136193616126,0,4.37785755839668,0,0,4.89299901342198,4.48994772974514,0,0,0,4.23600711009276,0,5.18355563304297,0,0,4.71240551510972,0,2.99718637253899,5.48756062000472,0,0,4.31198286620738,0,5.22407361757951,4.72775507374506,5.10081684873913,5.02418242904366,0,5.45187704607326,0,0,4.74764623330452,5.00912544961755,5.06305204391644,5.02117205234989,0,4.52240996498257,0,3.77207707730285,0,3.61795025628737,3.95278094738906,4.13243573269612,3.47440975379634,3.08050892761935,3.61734782265789,4.05005774070324,0,4.15469450505711,4.13132512821276,3.24102561402374,5.32015971278617,0,0,4.83681103962006,3.43943960245487,4.90239331364562,4.28140451207037,5.12113214711723,6.0483919565931,0,4.92411963192946,0,5.31560018500179,0,0,0,4.54468275835207,6.04102943957965,0,5.80321280746355,0,3.34708439900463,5.80912172648034,4.73471279216348,0,5.63843979907404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5703351769266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC1A5",0,6.80882940920818,5.02609118593996,0,0,0,0,6.87950884730226,0,6.25524203196858,5.7410766599974,4.94810316059104,6.56840966489796,6.1003934555109,4.02821553326382,0,6.11078725187456,0,0,6.21948110255021,0,0,5.38079908011587,0,0,4.71150646054388,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18370125891299,0,4.96372916168823,0,4.49185543506331,5.87605033503306,0,3.90112343815007,4.75914905464807,0,3.60580184134837,3.0483202065132,4.58630021716036,5.37668408775529,0,4.20083953977396,0,0,0,0,4.61064184057781,4.32548912217684,4.71068227403183,5.71325165581555,5.05682379339547,4.59817479846083,5.68797576851263,4.72887752728698,5.7061848519622,0,0,5.12368832946644,0,0,0,2.98218271888909,5.25261593818046,0,0,6.12075482442449,5.28547052081177,5.28720983595133,0,3.45913798312943,0,4.5211163384483,0,4.8722673674107,5.30336470905357,0,5.36780205852301,0,3.79770636873589,0,0,5.33057820576698,0,0,0,0,4.86767305837282,6.1025148112777,6.56398753512459,5.87150191376578,4.89462677075264,5.51932076035255,5.82840834158075,5.96223433749559,5.92292663443081,6.31211879848331,5.59878494129638,2.55648482943884,6.68940059904354,5.75633546541481,6.37541863295258,6.14753760249984,6.24924814654782,5.16476129606596,5.76952129399726,6.55268542066603,5.96145420445577,6.08101426284693,4.9633607910448,5.73587006194558,6.6479673125202,4.83510288990457,3.7193778680863,3.06715875717973,5.89182373746778,0,6.17028171028439,0,5.47806871387763,0,0,0,5.58510165486401,0,6.00143622310149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26255401726071,5.20007770171507,6.46867489508659,0,5.7097541255714,0,0,0,0,0,0,5.44302083124952,6.34141769750218,0,0,6.70965457926498,5.77971032561812
"SLC2A8",0,0,0,5.91937723916001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.190843565661,0,4.94301418620629,4.45118644399789,0,5.17780259455377,0,0,0,0,0,0,0,0,0,5.2529788339092,0,0,4.49345765001186,0,0,0,0,3.51483062651264,0,0,0,0,0,0,0,0,0,4.74121841544959,0,0,0,0,0,0,3.75724936576727,0,4.3213772133223,0,0,0,0,0,0,0,4.60384322814892,0,5.08779796374703,0,0,0,0,0,4.6359900172081,0,3.01451965760216,0,0,4.34989100502345,3.39689332077333,0,0,0,4.64691298173644,0,0,3.61304266768101,3.87616908292833,0,2.97905229607601,0,3.81151859519891,3.58903940960584,3.13764229447452,0,0,0,0,0,0,0,0,0,0,5.62620505554285,0,0,0,0,0,0,0,0,0,0,0,3.31455723893252,0,5.57263092682537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81421792391196,0,0,5.71824751556637,0,0,0,0,0,0,0,0,0,0,0,5.21833158667977,6.45700706642948,0,0,0
"AOC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97750048630907,4.1054194426033,4.09434746222845,4.67654579361726,5.00405460767296,3.95294353157878,0,0,5.72138740319581,0,2.4689747642322,0,0,0,2.41946724900512,0,0,0,0,0,0,0,0,0,3.97947420077975,0,0,0,0,0,0,0,0,0,3.52992123369937,0,0,4.21035222952407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88197023253879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GSTO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48547555528239,4.89329498175291,5.31972550987505,4.55500623717974,4.85833201797609,4.64766593919356,3.97728746220518,0,3.68541251457249,5.24346900406897,5.18930708172652,5.44352492213095,3.10812362503023,5.25493836856721,3.8832383868893,0,4.46679958851182,4.12243466703722,3.80619716983344,4.25259910519141,5.51989527775909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50557061618061,0,0,0,0,0,0,0,0,2.54314702970992,0,0,0,0,6.93042542839699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66632497484327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76973397207676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14717115050663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89373918024654,3.0483202065132,0,0,0,3.43783139202969,2.63696818119105,2.43712193514178,0,3.86349039825523,0,0,2.82853275579595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50199884275422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12189752174743,0,0,0,0,0,0,0,0,0,0,4.65556928161222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H6PD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69973823296844,3.65012157606342,3.1032607064685,0,0,3.57430457010704,4.44911826888121,0,0,3.57404415184985,4.35429992980099,2.91619221501246,0,0,0,4.80767135522179,0,4.24086274711221,2.9937688866549,0,4.33688446716635,4.93165053664389,3.95830662947538,0,0,3.66685838261479,4.34548005609737,4.85840617558946,0,2.63331861544925,3.11132943830589,4.91370352064817,0,4.2391400892596,0,0,0,2.61004356199555,2.68584965612859,4.13679731711736,3.27257449521206,4.2923871303259,3.9600121845707,3.56135386305459,2.31648691244886,3.27749847397797,4.20170477285458,4.28428776221099,3.88668799795769,5.12069391099978,3.33611806338333,3.37555347739684,4.26939403949299,4.0091300756152,4.09163677825386,0,4.32859125870253,2.98520924026096,0,3.34078230616968,2.76311967125371,2.70334995082263,0,0,0,3.22327111183609,0,0,0,0,0,0,0,0,3.54382910760803,0,0,0,0,0,2.9745026511203,3.78235888831789,0,0,0,0,3.02429776009,2.37954558731164,0,0,3.324296625121,2.40242761488607,2.32923148279707,2.87530008945886,0,0,0,0,0,0,0,0,2.45783356811703,0,4.94714448740655,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59924173180591,0,0,0,0,0,0,0,3.96520744352044,0,0,0,2.81778821826587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96061115673007,0,0,0,0,0,0,0,0
